name,location,city,state,country,start date,end date,latitude,longtitude,advance rates,atDoorRates,All,Thu,Fri,Sat,Sun,site url,register now url,description
Ohayocon,Hyatt Regency Columbus / Greater Columbus Convention Center,Columbus,OH,USA,2016-01-15,2016-01-17,39.972631,-83.001065,"$40 through Aug 31, 2015
$45 through Oct 31, 2015
$55 through Jan 2","All 3 days: $60
Fri: $35
Sat: $40
Sun: $10"," $60",," $35"," $40"," $10",http://ohayocon.org/,http://ohayocon.org/badge-prices/,"Ohayocon's theme for 2016 is SCIENCE! Science is an integral part of any good anime or video game, from ""arcane"" arts like alchemy and herbalism (the foundations for modern chemistry) to astronomy and engineering! Dress up as your favorite doctors and (mad) scientists or push the envelope as a mecha pilot or a mechanic. The sky and your imagination are the only limits with the SCIENCE theme!"
Anime Expo,Los Angeles Convention Center,Los Angeles,CA,USA,2016-07-01,2016-07-04,34.041209,-118.269131,,,,,,,,http://anime-expo.org/,http://www.anime-expo.org/registration/,"Currently the largest project managed by the SPJA, Anime Expo is an annual convention currently held at the Los Angeles Convention Center. Historically Anime Expo (AX) has been held on July 4th weekend as a 4-day event. Anime Expo has grown in scale dramatically, and is currently the largest anime and manga convention in North America. It is the second longest running anime convention (after A-kon in Texas) starting in 1992.

Popular large events include the Masquerade, Anime Music Video Contest, Concerts, Battle of the Bands, and the AX Fashion Show. Anime Expo is a 24-hour convention that offers late-night dances, all night video programming, tabletop gaming rooms, and open-mic Karaoke in the late evening/early morning hours. Many of the attendees cosplay while attending the convention, and there are many gatherings for fans of different anime and manga series.

Renowned for its ability to bring famous guests to America for panels and concerts, Anime Expo has been the site of many U.S. premiers of shows, movies, and bands."
Animarathon,"Bowling Green State University, Bowen-Thompson Student Union",Bowling Green,OH,USA,2016-03-26,2016-03-26,41.3771181,-83.640716,$10 through Mar 25,$5,$5,,,,,http://animarathon.com/,http://animarathon.com/node/1561,"Animarathon is a family friendly one-day convention hosted by Anime in Northwest Ohio (ANO), the anime club at Bowling Green State University.Animarathon celebrates any and all aspects of anime, related Japanese media, and the overall ""nerd culture"" that we've all come to know and love. Each year, Animarathon features a wide variety of events and performances, including video game tournaments, anime screenings, informational panels, a raffle, and of course, cosplay competitions. The dealers' room is open throughout the day with excellent anime merchandise, as is the artist alley, which features dozens of talented artists. This year's convention will also include the manga reading library, the Kawaii Kafe, and performances by the Game and Anime Music Ensemble and Hayabusa Taiko."
Kitsune Kon,KI Convention Center,Green Bay,WI,USA,2016-07-22,2016-07-24,44.5180363,-88.0112247,,,,,,,,http://kitsunekon.com/,http://www.kitsunekon.com/register-now/,"Kitsune Kon is dedicated to bringing anime and gaming awesomeness to the Fox Valley and Green Bay Area. We have everything from voice actors to anime rooms, classic gaming to the latest and greatest, with foam sword fighting and a manga cafe thrown in as well (and not in the same room too). Help us in our cause to share anime and gaming to the Fox Valley and Green Bay. 

After all, this is your anime convention."
Murfreesboro Anime and Comic Kon,Clarion Inn & Suites,Murfreesboro,TN,USA,2016-01-16,2016-01-17,35.84657,-86.431686,,"Sat: $10
Sun: $10",,,," $10"," $10",http://comiccitytn.com/Nashville_Comic_Con.php,,"Saturday Hours 10:00 AM to 5:00PM Sunday Hours 11:00AM to 4:00 PM
Our Fifth year. This is THE fan friendly show!
It features FREE PARKING! A FREE NYLON TOTEBAG! FREE ENTRY for our Win-An-Entire-Booth Prize Raffle (with over $5000 in merchandise) held Sunday! FREE GAMING ALL DAY -- Board Games (Apples to Apples to Zathura), Magic, Pokemon, more..."
Tokyo in Tulsa,Cox Business Center,Tulsa,OK,USA,2016-07-15,2016-07-17,36.1490621,-95.9971446,"$35 through Feb 2
$45 through Jun 13
$65 through Jul 13",All 3 days: $65," $65",,,,,http://www.tokyointulsa.com/,http://www.tokyointulsa.com/2016-registration.html,"Tokyo in Tulsa (TnT) is a non-profit fan-based convention with a focus on Japanese anime, culture, and pop culture."
Ikasucon,Grand Wayne Convention Center,Fort Wayne,IN,USA,2016-07-08,2016-07-10,41.076618,-85.139784,,,,,,,,https://www.ikasucon.org/,https://www.ikasucon.org/registration/,"Ikasucon is a volunteer run not for profit convention that covers Japanese Anime, Manga, Gaming, and Pop Culture.  The first Ikasucon was held in 2003 in Cincinnati, Ohio until moving to Fort Wayne, Indiana in 2007 where it remains today."
Castle Point Anime Convention,Stevens Institute of Technology,Hoboken,NJ,USA,2016-04-23,2016-04-24,40.74403,-74.026405,$15 through Apr 16,Both days: $20," $20",,,,,http://castlepointanime.com/,https://cpac2016.eventbrite.com,"Castle Point Anime Convention is created and organized by the members of the Stevens Anime Club and will be held on the campus of Stevens Institute of Technology in Hoboken, New Jersey. Castle Point Anime Convention is just minutes away from New York City and is easily accessible by PATH, NJ Transit, ferry, and bus. Castle Point Anime Convention aims to promote anime, manga, and Japanese culture as well as providing a fun experience for attendees."
ASAHi Con,Antioch High School,Antioch,CA,USA,2016-04-30,2016-04-30,38.006287,-121.815913,,$7,$7,,,,,http://asahicon.org/,,"ASAHi Con's mission is to bring anime, Japanese culture, and the convention experience to the fans of Antioch California, running on eight years now. We are a small con and we don't plan to get too large. We want to open the door to people and show them how amazingly awesome conventions are! All our staff is apart of the ASAHi Club at Antioch High school. Which means we have fresh staff members each year and the ones that graduate are trained in everything they need to know to run and plan a con."
Sabaku Con,Albuquerque Marriott Pyramid North,Albuquerque,NM,USA,2016-05-06,2016-05-08,35.16792,-106.5888318,$37.50 through Jan 10,All 3 days: $50," $50",,,,,http://www.sabakucon.com/,http://www.sabakucon.com/memberships/index.html,"Sabaku Con was created to help build the anime fan community in Albuquerque. It is ran by Monkey Paw Entertainment, which also owns and operates Saboten Con, Con-Nichiwa, Kikori Con, and Arizona Fur Con in Arizona. We have strong connections into the anime industry which allows us to bring in top entertainment and events that people want to see and be a part of.

Our goal is to build a strong local fan based convention that is ran by and for the people of Albuquerque. To do this we will bring key our senior staff in for the convention and train up local Albuquerque staff so that, in future years, the local staff will be the primary people in charge and the senior staff will be used as mentors only."
San Japan,Henry B. Gonzalez Convention Center / San Antonio Grand Hyatt Hotel,San Antonio,TX,USA,2016-09-02,2016-09-04,29.421484,-98.486348,"$40 through Nov 2, 2015
$45 through Jan 4
$50 through Apr 17
$54.75 through Jul 17",,,,,,,http://san-japan.org/,http://sanjapan9.reg-it.org/index.php?cart_id=2568AGJSVZaeipty,"San Japan is San Antonio, Texas largest anime convention. Located at the heart of the famous San Antonio River Walk we will be taking place at the Henry B. Gonzalez Convention Center, San Antonio Grand Hyatt Hotel and Marriott Riverwalk Hotel. We bring a wide variety of Japanese animation, culture, and unique fandoms all together for 3 days of continuous events. With over 18,400 unique attendees in 2015 we expect this to be our biggest event to date. This will be taking place on Labor Day weekend."
Amelia Con,Fernandina Beach Recreation Center / Days Inn & Suites Amelia Island At The Beach,Fernandina Beach,FL,USA,2016-02-05,2016-02-07,30.666937,-81.436232,,,,,,,,http://www.ameliacon.com/,http://www.ameliacon.com/tickets,"Amelia Con is Amelia Island's premier anime, comic book, animation, video game, fantasy, sci-fi, and pop culture convention. The convention will be held on February 5-7, 2016. It's three days of gaming, panels, and screenings and one Saturday packed with Special Guests, competitions, artists, exhibitors, and more!

Nestled in the resort town of Fernandina Beach (on Amelia Island), Amelia Con offers a unique convention experience complete with white sandy beaches, lush and historical scenery for amazing photo shoots, a haunted past, and excellent local restaurants."
Cecil Con,Cecil College Technology Center,North East,MD,USA,2016-04-09,2016-04-009,39.641041,-75.956458,,$3,$3,,,,,http://www.cecil-con.com/,,"Cecil Con is a family-friendly fantasy and sci-fi convention hosted by Geekdom at Cecil College in North East, MD. Cecil Con made its debut in 2014 and is back for its third year! Building on last year's success, the convention is looking to be bigger than ever. The hours are still the same as last year, but will have a bigger artist alley, more panels, events and guests. Geekdom is looking to make Cecil Con 2016 the best year yet!"
Anime Weekend Atlanta,Renaissance Waverly Hotel & Cobb Galleria Centre,Atlanta,GA,USA,2016-09-29,2016-10-02,33.884944,-84.464854,"$50 through Jan 31
$55 through May 31
$60 through Aug 31",,,,,,,http://awa-con.com/,http://www.eventbrite.com/e/anime-weekend-atlanta-2016-registration-18588878837,"AWA has a wide variety of events including video room showings of Japanese cartoons from new releases and titles going back to the 1960's, a dealer's room with retailers who sell Japanese animation and manga related merchandise such as toys, videos, audio CDs and artwork, workshops, panel discussions on various topics including the current trends in Japan and how they will affect the United States, a costume contest where attendees dress up as their favorite anime or manga character, and scores of guests who have worked or currently are working in the industry."
PortConMaine,"DoubleTree by Hilton Hotel Portland, ME",South Portland,ME,USA,2016-06-23,2016-06-26,43.635096,-70.3384,$41.99 through Jun 1,"All 4 days: $45
Thu: $30
Fri: $30
Sat: $30
Sun: $30"," $45"," $30"," $30"," $30"," $30",http://portconmaine.com/,http://www.portconmaine.com/web/index.php/registration,"PortConMaine is Maine's first, longest running, and largest convention celebrating the hobbies that enrich our lives. Join us for a celebration of geek culture interests including anime, gaming, science fiction, costuming, fantasy, video gaming, boffer combat, comics, pop culture, steampunk, and more! Come to enjoy your current favorite fandom and learn something new about another! Meet old and new friends and join the community-- let's celebrate the interests we enjoy together!

As a special incentive and thank you for those of you who pre-register to PortCon, PortCon offers a FREE fourth day to attendees who pre-register! Thursday is a day full of events for only those people who register ahead of time. So to get the most of your PortConMaine experience- don't forget to register in time!"
UChi-Con,"University of Chicago, Ida Noyes Hall",Chicago,IL,USA,2016-01-30,2016-01-30,41.788089,-87.595558,,Free,Free,,,,,http://jas.uchicago.edu/uchi-con/,http://jas.uchicago.edu/uchi-con/register/,"Uchi-con is the free, student-run anime convention held yearly at the University of Chicago's Ida Noyes Hall. UCJAS, the Uchicago Japanese Animation Society, is responsible for planning the event and holding it. Uchi-con is on Saturday, January 30th this year, from 10AM to 6PM, and everyone is welcome to come! We ask that people preregister to give us an estimate of how many people to expect and to ensure that the registration lines will move quickly at-con."
Anime Boston,Hynes Convention Center,Boston,MA,USA,2016-03-25,2016-03-27,42.347505,-71.084638,"$55 through Nov 13, 2015
$60 through Mar 20","All 3 days: $65
Sun: $25"," $65",,,," $25",http://animeboston.com/,http://animeboston.com/registration/,"Anime Boston is a three-day convention held annually in Boston, Massachusetts, USA under the supervision of the New England Anime Society. Our focus is to celebrate and promote Japanese animation, comics, and pop-culture.

This event has been a cornerstone of the northeast anime convention circuit since our inaugural event in April 2003. Following unprecedented growth, we quickly outgrew the space in the Boston Park Plaza Hotel and moved to the Hynes Convention Center in 2005. The Hynes Convention Center and Sheraton Boston have allowed us to grow in ways we could not have imagined since the idea was first conceived.

While the main focus on Anime Boston has always been Japanese animation and comics, we have expanded to include other aspects of Japanese pop-culture: J-Pop, J-Rock, and live-action Japanese media. We have also delved into Japanese history and traditional culture, thus encouraging people to develop a more well-rounded perspective."
Yoi-Con,Hyatt Regency Columbus,Columbus,OH,USA,2016-05-20,2016-05-22,39.9701951,-83.0008523,,,,,,,,http://yoi-con.com/,http://yoi-con.com/register,"Yoi-Con takes place in Ohio this coming May 20-22, 2016 at the Hyatt Regency Columbus. Join us and thousands of anime fans for a fun weekend of conventioneering! Plan your favorite cosplay costume and come have fun with your fellow fans of Japanese animation and culture. Expect to participate in costume cosplay contests, play video games against fellow fans, and more."
Anime Banzai,Davis Conference Center,Layton,UT,USA,2016-10-21,2016-10-23,41.084361,-111.980789,,,,,,,,http://animebanzai.org/,,"The goal of Anime Banzai is to bring an event to Utah where fans can come together to celebrate Japan and Japanese culture in a fun, safe, family-friendly atmosphere. To that end, we hold our convention three days each year with panels, events, and contests that will let fans enjoy their favorite aspects of Anime and Japanese popular culture."
AnimeIowa,Coralville Marriott Hotel & Conference Center,Coralville,IA,USA,2016-07-29,2016-07-31,41.681707,-91.56265,"$40 through Dec 31, 2015
$45 through Feb 29
$50 through May 31",,,,,,,http://animeiowa.com/,http://animeiowa.com/registration/,"AnimeIowa is the largest Anime convention in Iowa, hosting well over 3000 attendees each year. It is held once a year around the end of July for an entire weekend at the Coralville Marriott Hotel and Convention Center. AnimeIowa 2016 will be held from July 29th to the 31st."
Fannatiku Fest,Dixie Convention Center,Saint George,UT,USA,2016-03-25,2016-03-26,37.077363,-113.581821,"$30 through Jan 1
$35 through Mar 7","Both days: $40
Fri: $20
Sat: $30"," $40",," $20"," $30",,http://www.fannatikufest.com/,http://www.fannatikufest.com/#!resources,"Southern Utah's very own nerdom Convention is celebrating it's 10th birthday! Join us for an awesome weekend of anime, manga, Japanese culture, video gaming, tabletop gaming, artists, panels, events, and so much more!"
AniBlaze,Atlanta Marriott Century Center/Emory Area,Atlanta,GA,USA,2016-03-04,2016-03-06,33.8438749,-84.3079338,"$25 (first 25) through Jan 30
$30 through Jan 30","All 3 days: $35
Fri: $10
Sat: $15
Sun: $10"," $35",," $10"," $15"," $10",http://aniblaze.com/,http://www.eventbrite.com/e/aniblaze-anime-and-fan-convention-2016-tickets-16499911680?aff=es2,"AniBlaze is a first year anime convention in Atlanta GA. Whether you're just curious about anime or conventions, just want to meet new people, are a hard core otaku, or are just here to play some games with some great people, you are in the right place. Come join us, you know you want to!"
Newcon PDX,DoubleTree by Hilton Portland,Portland,OR,USA,2016-01-15,2016-01-17,45.5308415,-122.655417,"$30 through Feb 28, 2015
$35 through Jun 30, 2015
$40 through Dec 20, 2015",All 3 days: $50," $50",,,,,http://www.newconpdx.com/,http://www.newconpdx.com/registration/,"Newcon is proud to return bigger and better than before. Look forward to even more space than last year, again at the DoubleTree in Portland! This year we will have even more amazing content, great contests, and workshops. We listened to what you had to say and we plan to make this year even better than the last!"
Orlando Anime Day,International Palms Resort and Conference Center,Orlando,FL,USA,2016-01-23,2016-01-23,28.458826,-81.470752,,$5,$5,,,,,http://orlando.animeday.net/,,"Our show is the double day anime marketplace that brings all your anime/manga needs to you without all the hassle or extra expense associated with other conventions. Admission is only $5.00 at the door so you won't have to spend all your money just to get inside. Orlando Anime Day features an over 2,000 sq ft dealers room, Video/Event room, prize giveaways, raffle drawing, cosplay, and FREE Parking. A full day of anime fun for less then a movie ticket!"
Otakon,Baltimore Convention Center,Baltimore,MD,USA,2016-08-12,2016-08-14,39.285411,-76.617397,,,,,,,,http://otakon.com/,,"Otakon is the convention of the otaku generation: by fans, for fans, and since 1999 we've reigned over much of Baltimore's Inner Harbor with a three day event celebrating the diverse pop culture that has given us everything from Attack on Titan to Yu Yu Hakusho, from Hidden Fortress to Howl's Moving Castle."
MomoCon,Georgia World Congress Center,Atlanta,GA,USA,2016-05-26,2016-05-29,33.7598766,-84.397002,"$47 through Sep 30, 2015
$52 through Dec 31, 2015
$57 through May 13
$70 through May 26","All 4 days: $70
Thu: $25
Fri: $40
Sat: $45
Sun: $25"," $70"," $25"," $40"," $45"," $25",http://www.momocon.com/,http://www.momocon.com/momocon-2016-registration/,"With 22,600 unique and over 66,000 turnstile attendance in 2015, MomoCon is one of the fastest growing all ages conventions in the country. Come celebrate your passion for anime, games, and comics at MomoCon 2016 this Memorial Day Weekend, May 26th - 29th 2016 in downtown Atlanta."
Anime Conji,Sheraton San Diego Hotel & Marina,San Diego,CA,USA,2016-03-25,2016-03-27,32.727012,-117.197546,"$30 through Nov 30, 2015
$40",,,,,,,http://www.anime-conji.org/,,"We at the Society for the Promotion of Japanese Animation regret to inform our attendees that Anime Conji 2016, scheduled for March 25th - 27th at the Sheraton Hotel & Marina has been canceled.

We have collectively decided to focus on expanding and improving each of our events, bringing a level of quality seen in our larger shows to our smaller events. Unfortunately to meet this goal, Anime Conji will have to take a small break.

We would like to take this opportunity to express our deepest apologies and heartfelt thanks for your understanding and continued support."
Animé Los Angeles,Ontario Convention Center,Ontario,CA,USA,2018-01-26,2018-01-28,34.065143,-117.606642,,,,,,,,http://animelosangeles.org/,,
Animaine,Best Western Merry Manor Inn,South Portland,ME,USA,2016-11-11,2016-11-13,43.618388,-70.306122,,,,,,,,http://www.animaine.org/,,"ANIMAINE is a celebration of animation located in Maine. Some people call us an anime convention, which is fair - but we also love video games, international animation, graphic novels - basically all forms of sequential art. Since 2015, we've been an independent non-profit organization working towards improving the public perception of animation in North America, combating piracy, and promoting artists."
Kraken Con Fall,Oakland Convention Center,Oakland,CA,USA,2016-11-19,2016-11-20,37.8023123,-122.2738505,,,,,,,,http://krakencon.com/,,"Kraken Con is a two day convention being held November 19-20th, 2016 in the Oakland Convention Center which features anime, cartoons and comics with a heavy emphasis on whimsy, imagination and the creative process. Our goal is to ensure attendees have an enjoyable experience via great panels, cool guests, fun events and awesome merchandise."
Anime Blues Winterfest Remix,Landers Center,Southaven,MS,USA,2016-01-16,2016-01-16,34.9271566,-89.9967925,$11.24 through Jan 1,$15,$15,,,,,http://animebluesremix.com/,http://animebluesremix.com/pre-registering,"Anime Blues Remix is your typical 3-day anime convention before rolled into a one-day con and sliced with an extra layer awesomeness on top! Anime Blues Remix offers a full Dealer's Room, artist alley, game room (with tourneys), Cosplay Contest, anime/non-anime panels, giveaways and much much more but for a much better price. While you thought last year was great, join us for round 4 in our new and better location to see what it really has to offer. We can't wait to see you there!"
Ichibancon,Embassy Suites Concord,Concord,NC,USA,2015-12-31,2016-01-03,35.365221,-80.70061,$39,"All 4 days: $45
Thu: $12
Fri: $27
Sat: $37
Sun: $18"," $45"," $12"," $27"," $37"," $18",http://ichibancon.com/,,"Ichibancon is an anime convention in the area of Charlotte, North Carolina. We will be having 4 days of events in January of 2016 with tons of fun events to attend, a dealers room, video showings, an artist alley, a big video and tabletop game room, an awesome rave, plenty of good panels, cosplay contest and much more!"
Animé Los Angeles,Ontario Convention Center,Ontario,CA,USA,2016-01-29,2016-01-31,34.065143,-117.606642,,,,,,,,http://animelosangeles.org/,,
Pensacon,Pensacola Bay Center,Pensacola,FL,USA,2016-02-19,2016-02-21,30.4163661,-87.2089644,,,,,,,,http://pensacon.com/,,"Seeking to be an all inclusive convention for the fan community, Pensacon will incorporate many genres - Sci-Fi, Fantasy, Horror, Comics, Anime, Gaming and more!"
SSA+S Toracon,Sarasota School of Arts and Sciences,Sarasota,FL,USA,2016-02-06,2016-02-006,27.3419052,-82.5430936,,$7,$7,,,,,http://www.ssastoracon.net/,http://www.ssastoracon.net/#!tickets-and-location!,"This is a family friendly anime and gaming convention made for elementary to high schoolers. In its fifth year, SSA+S Toracon has vendors and artists from the Tampa Bay to Orlando area as well as video game tournaments, board and card gaming events, panels, cosplay contest, and a concert by Random Encounter."
Katsucon,Gaylord National Resort & Convention Center,National Harbor,MD,USA,2016-02-12,2016-02-14,38.783629,-77.016392,"$50 through Jun 30, 2015
$60 through Aug 31, 2015
$70 through Jan 31","All 3 days: $75
Sat: $55
Sun: $45"," $75",,," $55"," $45",http://www.katsucon.org/,http://www.katsucon.org/registration/,"Katsucon is an annual 3-day fan convention held in the D.C. metro area for multicultural enthusiasts and entertainment. Katsucon is produced by Katsucon Entertainment, Inc. (KEI), an educational organization dedicated to bringing information about Japanese animation, society, and traditional and popular culture to fans everywhere."
Visioncon,Hilton Branson Convention Center,Branson,MO,USA,2016-02-26,2016-02-28,36.6431791,-93.2153864,$30 through Feb 7,"All 3 days: $40
Fri: $30
Sat: $30
Sun: $30"," $40",," $30"," $30"," $30",http://visioncon.net/,http://visioncon.net/content/registration/individual-register.php,"Southwest Missouri's premier gaming, sci-fi, fantasy, media, etc. convention"
Star City Anime,Holiday Inn Roanoke - Valley View,Roanoke,VA,USA,2016-02-05,2016-02-07,37.310412,-79.979653,"$20 through Sep 20, 2015
$25 through Nov 20, 2015
$30 through Jan 10
$35 through Feb 4",All 3 days: $35," $35",,,,,http://starcityanime.com/,http://starcityanime.com/register,"Star City Anime is the anime convention of Roanoke, VA. We hope you'll join us in celebrating the love anime and video games at our convention. Our convention features th"
Knoxville Anime Day,Holiday Inn Knoxville West- Cedar Bluff Rd,Knoxville,TN,USA,2016-01-30,2016-01-30,35.9196795,-84.0901529,,$5,$5,,,,,http://knoxville.animeday.net/,,"Our show is the one day anime marketplace that brings all your anime/manga needs to you without all the hassle or extra expense associated with other conventions. Admission is only $5.00 at the door so you won't have to spend all your money just to get inside. Our Anime Day features an over 2,000 sq ft dealers room, Video/Event room, prize giveaways, raffle drawing, cosplay, fan panels and FREE Parking."
Las Cruces Anime Days,"New Mexico State University, Corbett Center",Las Cruces,NM,USA,2016-01-23,2016-01-24,32.282926,-106.747751,$26.74,"Both days: $30
Sat: $20
Sun: $15"," $30",,," $20"," $15",http://lascrucesanimedays.org/,http://elpasoanimecon.org/lcad/index.php?id=2,"Join us at LCAD for the 7th year of ""the best little anime con in Southern New Mexico!"""
Ushicon,Wingate by Wyndham Hotel & Conference Center,Round Rock,TX,USA,2016-02-05,2016-02-07,30.270257,-97.734139,$35,,,,,,,http://www.ushicon.com/,http://www.ushicon.com/registration/,"Although we've been operating as an age restricted convention for the past four years, we still frequently get asked ""Why are you an 18 & older convention? It sounds like a hentai convention."" The simple answer is this: we're recreating the atmosphere of an old-school anime convention when convention attendees were mostly made up of college students.

It's not a secret that when Ushicon went on hiatus in 2006, we couldn't reconcile our core values of respecting content creators with the attitudes from the growing attendee population of younger generations. It's fantastic that anime is getting more popular by the day, but the all-ages show at Ushicon 5 simply wasn't the convention we set out to make back in 2002. When we returned in 2011, we implemented our 18 & older policy to promote specific values in our celebration of anime: maturity and respect."
Colorado Anime Fest,Renaissance Denver Hotel,Denver,CO,USA,2016-02-12,2016-02-14,39.7699449,-104.9040368,$37.50,All 3 days: $50," $50",,,,,http://coloradoanimefest.com/,http://www.coloradoanimefest.com/memberships/index.html,"We're anime fans just like you, so we know there's a strong desire across the front range for more ways to come together and share our love of all things Japan. We're already teaming up with our industry friends and other organizations around the world to celebrate Japanese culture in the Mile High City."
AgamaCon,Hilton Garden Inn,Aiken,SC,USA,2016-03-04,2016-03-06,33.5093997,-81.7178262,"$15 through Jul 17, 2015",,,,,,,http://www.agamacon.com/,https://www.kickstarter.com/projects/agamacon/agamacon-bringing-a-convention-to-the-csra,"Agamacon (short for Artists Gamers and Anime Members Association) a a grass-roots community based effort to build a convention right here in the CSRA. Sure traveling is fun, but with the rise in conventions and some cities having more than 3 conventions a year we decided it was high time to build one in Augusta. We've recently established an LLC and are in the process of making plans for a small convention in 2016 as well as hosting small vendor-based events to help fun the convention, get the community together and showcase some amazing local vendors. 
We rely heavily on the community to support and help us grow and we use social media as the basis for bringing everyone together and getting input from the community to help make this convention one that is truly made by the CSRA and for the CSRA."
