name,eventVenue,eventCity,eventState,eventCountry,eventStartDate,eventEndDate,latitude,longitude,advanceRates,atDoorRates,siteURL,registerURL,description,eventType
Koya-Con,Midland County Horseshoe Pavilion,Midland,TX,USA,2016-06-24,2016-06-26,31.9716022,-102.0948543,"
$25 through Jan 31
$30 through Mar 31
$35 through Jun 23","
All 3 days: $40",http://koyacon.com/,http://koyacon.com/index.php/pre-registration,"Koya-Con is an anime convention locally run in the Permian Basin to spread the enjoyment of anime, manga, and Japanese culture. It is held by the West Texas Anime Society. 

We are currently working on planning our third annual year and expect to go above and beyond last year's convention. We hope that you will join us in helping our communities convention grow even larger and better every year! We are a non-profit organization so everything that is earned from the con goes back into the next year's budget for guests and activities!",Anime
SoDak Con,Rushmore Plaza Civic Center,Rapid City,SD,USA,2016-06-24,2016-06-26,44.088132,-103.2252,"
$30 through Jul 31, 2015
$40 through May 28","
All 3 days: $45
Fri: $25
Sat: $25
Sun: $25",http://www.sdcon.org/,http://www.sdcon.org/preregistration.html,South Dakota's largest anime and geek convention. All are welcome.,Anime
Maple Gel Con,Holiday Inn Oakville (Centre),Oakville,ON,Canada,2016-06-25,2016-06-26,43.457952,-79.6857093,"
$32.40 through Jun 25",,http://maplegelcon.squarespace.com/,http://maplegelcon.squarespace.com/registration-1/,"Tales of Phantasia began the epic series that came forth for the past 20 years. With 15 Mothership titles, many escorts, anime, manga, movies and more, it's grown into a large, fantastic series.

Now it's time to celebrate the series in the best way possible! A convention!",Anime
Animaritime,Fredericton Convention Center,Fredericton,NB,Canada,2016-07-01,2016-07-03,45.9602897,-66.6386852,"
$31.65 through Dec 31, 2015
$36.83 through May 31","
All 3 days: $45
Fri: $25
Sat: $30
Sun: $25",http://www.animaritime.org/,http://www.animaritime.org/attendee,"Animaritime is run entirely by a dedicated group of volunteers to bring you the best in anime and gaming.

We're back for our 2016 convention, and we invite you to join over a thousand of your fellow fans as we hold our event in Fredericton on July 1st - 3rd, 2016 to celebrate all things anime, manga, gaming and much more.",Anime
Anime Blues Con,Memphis Cook Convention Center,Memphis,TN,USA,2016-07-01,2016-07-03,35.151828,-90.050404,"
$26.62 through Feb 29
$36.87 through Jun 6","
All 3 days: $50
Fri: $30
Sat: $30
Sun: $20",http://animeblues.com/,http://www.animeblues.com/registration/attending/pre-registration,"Anime Blues Con is back and celebrating its sixth year. Fan favorite events, like the cosplay contest, Disney Shadow Cast, formal ball, the rave, and our famous (infamous?) late programming are returning better than ever. We're also rolling out brand new MAJOR events with our Cosplay University and a massive Super Smash Bros. Melee tournament that will broadcast through Twitch throughout the weekend. Year six is already shaping up to be the best one yet. Don't miss out!",Anime
Otafest,Calgary Telus Convention Centre,Calgary,AB,Canada,2016-07-01,2016-07-03,51.0458444,-114.0612442,"
$43.39 through Nov 15, 2015
$48.70 through Mar 15
$53.99 through Jun 20","
All 3 days: $60
Fri: $35
Sat: $35
Sun: $25",https://otafest.com/2016/,https://otafest.com/2016/tickets/,"Otafest is an annual conference for anime enthusiasts. We act as a creative outlet for fans, an occasion where they can show their passion and appreciation of the hobby. We are an event where fans can show off the costumes they have made, the music videos they have created, and the art they have painted and drawn. Otafest is a forum for discussion and education. We host educational panels introducing others to the basics of the Japanese language and tips on how to use computer programs to enhance music videos and CG art. In the past, we have hosted guests who explained the process of donning a kimono, demonstrated the intricacies of tea ceremonies, and Iaido (the art of drawing a sword from a scabbard). We have also invited individuals involved in the voice acting and animation industries to speak of their experiences.",Anime
Anime Expo,Los Angeles Convention Center,Los Angeles,CA,USA,2016-07-01,2016-07-04,34.041209,-118.269131,,,http://anime-expo.org/,http://www.anime-expo.org/registration/,"Currently the largest project managed by the SPJA, Anime Expo is an annual convention currently held at the Los Angeles Convention Center. Historically Anime Expo (AX) has been held on July 4th weekend as a 4-day event. Anime Expo has grown in scale dramatically, and is currently the largest anime and manga convention in North America. It is the second longest running anime convention (after A-kon in Texas) starting in 1992.

Popular large events include the Masquerade, Anime Music Video Contest, Concerts, Battle of the Bands, and the AX Fashion Show. Anime Expo is a 24-hour convention that offers late-night dances, all night video programming, tabletop gaming rooms, and open-mic Karaoke in the late evening/early morning hours. Many of the attendees cosplay while attending the convention, and there are many gatherings for fans of different anime and manga series.

Renowned for its ability to bring famous guests to America for panels and concerts, Anime Expo has been the site of many U.S. premiers of shows, movies, and bands.",Anime
Florida Supercon,Miami Beach Convention Center,Miami,FL,USA,2016-07-01,2016-07-04,25.794859,-80.133151,"
$85.68 through Feb 1
$80 + fees through May 14
$96.60 through Jun 15
$90 + fees through Jun 30","
All 4 days: $90
Fri: $30
Sat: $40
Sun: $35
Mon: $30",http://floridasupercon.com/,https://register.growtix.com/e/florida_supercon_2016,"The LARGEST Comic Con in Miami and South Florida is Florida Supercon. Florida Supercon is South Florida's Comic Book, Anime, Animation, Video Game, Fantasy, Sci-Fi and Pop Culture Convention. Florida Supercon takes place JULY 1-4, 2016 at THE MIAMI BEACH CONVENTION CENTER! It's 4 days of fun featuring celebrity guests, comic book creators, voice actors, industry guests, cosplayers, artists, writers, panels, Q&A;'s, films & shorts, costume & cosplay contests, vendors, parties, anime, workshops, video gaming and more! FSC returns to THE MIAMI BEACH CONVENTION CENTER as we take over Halls C and D for over 500,000 square feet of geeky awesome!",Anime
Mini Cosplay Con,"Temple University, Howard Gittis Student Center",Philadelphia,PA,USA,2016-07-02,2016-07-002,39.9793629,-75.1551284,"
Free","
Free",http://www.cosplayphiladelphia.com/#!mini-cosplay-con/c24hy,https://www.eventbrite.com/e/cosplay-philadelphias-mini-cosplay-con-tickets-24461197099,"Join us for a very special event! Cosplay Philadelphia is having their usual meetup, but making it BIGGER for our SPECIAL GUESTS.......You!!!

Cosplayers and cosplay enthusiasts, nerds, otaku, and etc are in for a unique mini-con experience with our fun programming.",Anime
Otaku Palooza,Argyle Park Community Center,Regina,SK,Canada,2016-07-02,2016-07-03,50.4887113,-104.6322891,,"
Both days: $10
Sat: $4
Sun: $4",http://www.otakupalooza.com/,,"Otakupalooza is a small but strong fan run anime conventions here in Regina. What is it about Otakupalooza that sets us apart? All of us here are dedicated to making our convention the most accessible, inclusive, and enjoyable event in the city. We are passionate about getting the details right, but even more than that we are obsessed with making sure all of our attendees have fun. We make a point of collecting feedback, of listening to your suggestions. We love making you all happy, and this year will be no different. Come join us for another great weekend of fun and friends May 7-8, 2016. We can't wait to see you!",Anime
ConnectiCon,Connecticut Convention Center / Hartford Marriott Downtown / Hilton Hartford,Hartford,CT,USA,2016-07-07,2016-07-10,41.763438,-72.668338,"
$50 through Jan 2
$60 through Apr 2
$75 through Jul 2","
All 4 days: $75
Fri: $40
Sat: $50
Sun: $30",http://connecticon.org/,https://register.growtix.com/e/connecticon_2016,"ConnectiCon has a little bit of everything for every type of fan we've got:
Cosplay, Comics, Online Media, Tabletop Gaming, Video Gaming, TV and Movie stars, Voice Actors, Panels & Workshops, Contests, Dances...
We've got ALL THE THINGS at one event!",Anime
Anime Festival Wichita,Hyatt Regency Wichita,Wichita,KS,USA,2016-07-08,2016-07-10,37.682674,-97.341903,"
$30 through Nov 20, 2015
$35 through Mar 24
$40 through Jun 24","
All 3 days: $45
Fri: $18
Sat: $25
Sun: $20",http://www.afwcon.org/,http://www.afwcon.org/tickets/,,Anime
Anime Midwest,Hyatt Regency O'Hare,Rosemont,IL,USA,2016-07-08,2016-07-10,41.981251,-87.8589,"
$35 through Dec 20, 2015
$40 through Jan 20
$45 through Mar 30
$50 through May 20
$55 through Jun 20
$60",,http://animemidwest.com/,http://animemidwest.com/register,"Anime Midwest is a three-day anime con with tons of anime events, organized by fans for fans. We have lots of cosplay events, several anime screenings, free Mt. Dew for all congoers, lots of panels, video game events, and a lot more. Our Chicago anime con will bring together thousands of fans to celebrate Japanese animation, and some other fandoms, over a three-day-long weekend.",Anime
Ikasucon,Grand Wayne Convention Center,Fort Wayne,IN,USA,2016-07-08,2016-07-10,41.076618,-85.139784,,,https://www.ikasucon.org/,https://www.ikasucon.org/registration/,"Ikasucon is a volunteer run not for profit convention that covers Japanese Anime, Manga, Gaming, and Pop Culture.  The first Ikasucon was held in 2003 in Cincinnati, Ohio until moving to Fort Wayne, Indiana in 2007 where it remains today.",Anime
Toronto Sailor Moon Celebration,Ontario Science Centre,Toronto,ON,Canada,2016-07-09,2016-07-009,43.7164211,-79.3390856,"
$15 through Apr 30
$20 through Jul 8","
$25",http://sailormooncelebration.com/,http://sailormooncelebration.com/tickets,"Returning for a second year! Another full day of Sailor Moon fun with panels and activities, episode screenings, exhibitors and indie vendors, voice actor and cosplay guests, and even a concert with Jennifer Cihi.",Anime
﻿ValhallaCon,Columbia Metropolitan Convention Center,Columbia,SC,USA,2016-07-09,2016-07-10,33.997156,-81.037919,"
$20 through Jun 25","
Both days: $30
Sat: $20
Sun: $15",http://www.valhallaconsc.com/,https://www.eventbrite.com/e/valhallacon-2016-tickets-20091304633,"ValhallaCon is a viking / warrior themed convention.
Valhalla, in Norse mythology, is where heroes slain in battles go in the after life.
Valhalla is a place of honor, glory, or happiness! Valhalla is the hall of slain warriors who live blissfully under the leadership of Odin. 

""Valhalla is depicted as a splendid palace, roofed with shields, where the warriors feast on the flesh of a boar slaughtered daily and made whole again each evening. They drink liquor that flows from the udders of a goat, and their sport is to fight one another every day, with the slain being revived in the evening. Thus they will live until the Ragnarok, when they will leave Valhalla to fight at the side of Odin against the Giants.""

To us Valhalla means a place to have fun, relax, and enjoy each others company in a place of happiness!",Anime
Ai-Kon,RBC Convention Centre,Winnipeg,MB,Canada,2016-07-15,2016-07-17,49.888663,-97.144579,"
$47 through May 20
$50 + fees",,http://ai-kon.org/,http://ai-kon.org/registration/,"Ai-Kon is a three-day event held during the summer, which runs around the clock from start to finish. Other than our focus on Japanese animation, comics and closely related media, the convention has branched off to include other events that have varying amounts of overlap with our attendees' interests. We host many anime convention staples, such as the cosplay masquerade, assorted video games with tournament prizes, and rooms for vendors and artists alike to showcase and sell their wares. Thanks to the diverse range of anime fans in the area, with each passing year we've been able to host panels and other events covering more ground in other semi-related areas, from Japanese Tea Ceremony and Aikido demonstrations from the Manitoba Japanese Canadian Cultural Centre to panels discussing the finer points of Go and ball-jointed dolls.",Anime
Ancient City Con,Prime F. Osborn III Convention Center,Jacksonville,FL,USA,2016-07-15,2016-07-17,30.3276924,-81.6723664,"
$50","
All 3 days: $50
Fri: $15
Sat: $20
Sun: $15",http://ancientcitycon.com/,http://ancientcitycon.com/registration/attendee/,"Ancient City Con (or ACC) started in 2007 as a one day only convention in St. Augustine, FL. We set out to create a convention where all things related to Sci-fi, Fantasy, Gaming and Anime were welcome instead of creating a specific ""geek niche"" event. The majority of programming and events at ACC are primarily run by fans for the fans.

Since then, we have moved north to Jacksonville, FL and expanded to a 3 day convention that includes all things Sci-fi, Fantasy, Gaming, Contests, Anime, Horror, Literary & Publishing, Cosplay, Discussion Panels, Art, Independent Film Screening, Nerdcore Musicians/Bands, Special Guests and more!",Anime
Anime Austin,Holiday Inn Austin Midtown,Austin,TX,USA,2016-07-15,2016-07-17,30.3235964,-97.7119831,"
$27.37 through Jan 23
$37.92 through Jun 30","
All 3 days: $40
Fri: $20
Sat: $25
Sun: $15",http://www.animeaustin.com/,http://www.animeaustin.com/#register,"Anime Austin is an annual anime, arts, and Japanese pop culture convention making its debut in 2016. The convention will take place July 15-17 at the Holiday Inn Austin Midtown. Meet up with your friends or make some new ones at this year's Anime Austin.

We are the newest anime convention in central Texas. Sign up for a weekend of fun filled programming and meet your favorite voice actors. This show is looking to change the way people experience fandom with new programming and a new way for the community to come together.",Anime
Anime-zing!,The RiverCenter,Davenport,IA,USA,2016-07-15,2016-07-17,41.522716,-90.572839,"
$30 through Mar 20, 2015
$40 through May 20, 2015
$45 through Jun 20, 2015
$50 through Jul 16, 2015",,http://qcanimezing.com/,http://qcanimezing.com/register,"Anime-zing! is a three day convention celebrating Japanese arts and the communities that surround anime fandom. This Iowa anime convention includes dozens of anime screenings, a plethora of discussions, autograph signings, a dealers hall, and group meetups for fandoms including several anime, BJDs, Homestuck, Lolita fashion, MLP, science-fiction, and video games. We're not just about anime - we are everything Otaku.",Anime
Hoshicon,Westin Charlotte Hotel,Charlotte,NC,USA,2016-07-15,2016-07-17,35.2215165,-80.8477858,"
$30 + fees through Dec 26, 2015
$35 + fees through Jun 30","
All 3 days: $45
Fri: $25
Sat: $30
Sun: $15",http://hoshicon.org/,http://hoshicon.org/registration/,"Hoshicon is a three-day Japanese Culture, Animation, and Video Game event located at the Westin Charlotte Hotel in Charlotte, NC. There is a wide range of events catering to this cultural event including shopping, panels, a game room, cosplay contest, and much more! Our goal is to provide people of all ages with entertainment and to educate our community about Southeast Asian culture. Last year, our convention ended up attracting 4,000+ attendees to the Charlotte, NC area. Please join us as we host 2016's Hoshicon here in Charlotte, NC! We hope to see you there!",Anime
TFcon Toronto,Hilton Mississauga/Meadowvale,Mississauga,ON,Canada,2016-07-15,2016-07-17,43.6010178,-79.7438337,,"
All 3 days: $50",http://tfcon.ca/,http://www.tfcon.ca/admission-registration-ticket-information,"TFcon, is a Transformers fan convention held annually since 2002 in the Greater Toronto Area. The convention was created to give Canadians the opportunity to celebrate their love for the Transformers franchise and is now the largest fan-run Transformers convention in the world.",Anime
Tokyo in Tulsa,Cox Business Center,Tulsa,OK,USA,2016-07-15,2016-07-17,36.1490621,-95.9971446,"
$35 through Feb 2
$45 through Jun 13
$65 through Jul 13","
All 3 days: $65",http://www.tokyointulsa.com/,http://www.tokyointulsa.com/2016-registration.html,"Tokyo in Tulsa (TnT) is a non-profit fan-based convention with a focus on Japanese anime, culture, and pop culture.",Anime
Glass City Con,SeaGate Convention Centre,Toledo,OH,USA,2016-07-16,2016-07-17,41.649383,-83.536273,"
$15 through Dec 5, 2015
$20 through Apr 30
$25 through Jul 11","
Both days: $30
Sat: $25
Sun: $20",http://www.glasscitycon.com/,http://www.glasscitycon.com/#!register/hjv8e,"Glass City Con is Toledo's premiere otaku convention, celebrating Japanese animation, gaming, cosplay, and the culture of fans. We offer 7 event areas featuring exciting panels and performances, a massive game room featuring 40+ consoles and arcade machines, a tabletop room featuring a variety of games, 3 screening rooms featuring the latest anime, and much more!",Anime
Metrocon,Tampa Convention Center,Tampa,FL,USA,2016-07-21,2016-07-24,27.941943,-82.456518,,,http://metroconventions.com/,http://www.metroconventions.com/control.cfm?ID=3159,"METROCON is founded as the nexus of worlds, thus allowing characters from other dimensions to come together in the same place to meet. The Gear, the symbol of METROCON, is the put in place as a filter on reality so that ultimate evil cannot come through. Feel free to read the ""Story of METROCON"" in it's entirety, or skip ahead if you just need to catch up!",Anime
Kitsune Kon,KI Convention Center,Green Bay,WI,USA,2016-07-22,2016-07-24,44.5180363,-88.0112247,"
$20 through Aug 31, 2015
$25 through Jan 31
$30 through May 31",,http://kitsunekon.com/,http://www.kitsunekon.com/register-now/,"Kitsune Kon is dedicated to bringing anime and gaming awesomeness to the Fox Valley and Green Bay Area. We have everything from voice actors to anime rooms, classic gaming to the latest and greatest, with foam sword fighting and a manga cafe thrown in as well (and not in the same room too). Help us in our cause to share anime and gaming to the Fox Valley and Green Bay. 

After all, this is your anime convention.",Anime
NatsuCon,Gateway Convention Center,Collinsville,IL,USA,2016-07-22,2016-07-24,38.6814839,-90.0191023,"
$25 + fees through Dec 31, 2015
$30 + fees through Mar 31
$36.87 through Jun 30","
All 3 days: $45
Fri: $20
Sat: $30
Sun: $12",http://natsucon.org/,http://natsucon.org/register/,"NatsuCon is a Saint Louis metro-area based anime convention possessing the sole desire of expanding the appreciation, understanding, and acceptance of Japanese pop-culture in America. By the use of media ranging from art, to music, to visual screenings, NatsuCon strives to present attendees with an accepting, friendly environment allowing guests of all ages to meet and express similar interests. The staff and volunteers of NatsuCon all share the common wish of providing attendees with a fun and welcoming atmosphere. Through educational panels and interactive presentations and events based around precepts of Japanese culture, NatsuCon will offer its guests with an opportunity to empower themselves by increasing knowledge, diversity, and strength of character.",Anime
Ama-Con,Amarillo Civic Center,Amarillo,TX,USA,2016-07-23,2016-07-24,35.208705,-101.830977,,,http://ama-con.amarillolibrary.org/,,,Anime
Anime Festival Orlando,Wyndham Orlando Resort,Orlando,FL,USA,2016-07-29,2016-07-31,28.448893,-81.470066,,,http://animefestivalorlando.com/,,AFO is a multi-day celebration of all things related to Japanese animation and pop culture held at the Wyndham Orlando Resort.,Anime
AnimeIowa,Coralville Marriott Hotel & Conference Center,Coralville,IA,USA,2016-07-29,2016-07-31,41.681707,-91.56265,"
$40 through Dec 31, 2015
$45 through Feb 29
$50 through May 31",,http://animeiowa.com/,http://animeiowa.com/registration/,"AnimeIowa is the largest Anime convention in Iowa, hosting well over 3000 attendees each year. It is held once a year around the end of July for an entire weekend at the Coralville Marriott Hotel and Convention Center. AnimeIowa 2016 will be held from July 29th to the 31st.",Anime
ConBravo!,Hamilton Convention Centre,Hamilton,ON,Canada,2016-07-29,2016-07-31,43.256635,-79.870938,"
$35 through Mar 1
$40 through Jun 1
$45 through Jul 1","
All 3 days: $50
Fri: $25
Sat: $40
Sun: $25",http://conbravo.com/,https://shop.conbravo.com/,"ConBravo! is a celebration of all things geek, with a focus on YouTube, gaming, and cosplay. Come out for three days of fun, connect with your favourite YouTube producers, and see some great content including guest panels, live events like Archery Tag, our enormous gaming rooms, and our vendors, artists, and indie game developers!",Anime
GlitchCon,Holiday Inn Springdale/Fayetteville Area,Springdale,AR,USA,2016-07-29,2016-07-31,36.171997,-94.185061,"
$35",,http://www.glitchcon.com/,http://www.glitchcon.com/#!register/cgys,"Glitchcon is a multi-genre convention focusing in areas such as Sci-Fi, Anime, Gaming, and Tabletop. We sport some of the best and coolest events in the region with the largest Tabletop Room where you can join in with local game masters or host your own game! We offer a full weekend of panels, chances to meeting the guests up close and personal, voice actor lead panels, a cosplay contest with amazing prizes, an amazing artist alleyway as well as vendor room and much much more!",Anime
Louisville Anime Weekend,Ramada Plaza Louisville Hotel and Conference Center,Louisville,KY,USA,2016-07-29,2016-07-31,38.2211242,-85.5774359,"
$26.62 through Mar 1
$31.74
$36.87
$41.99
$47.12",,http://louisvilleanimeweekend.com/,http://sukoshicon.com/LAW2016/pre-register/,,Anime
MechaCon,Hilton New Orleans Riverside,New Orleans,LA,USA,2016-07-29,2016-07-31,29.947667,-90.063971,"
$40 through Mar 1
$45 through Jun 25","
All 3 days: $55
Fri: $25
Sat: $35
Sun: $15",http://www.mechacon.com/,http://www.mechacon.com/news/registration/,"MechaCon was conceived as a revolutionary anime convention experience, utilizing a unique three-fold approach focusing on Japanese animation, Japanese culture, and Transformers. The brainchild of two close friends, Pete Bares and Jon Russo, the convention soon became the largest, longest-running and most successful anime convention in Louisiana.",Anime
Tatsu-Con,Buffalo Niagara Convention Center,Buffalo,NY,USA,2016-07-29,2016-07-31,43.085658,-79.060299,"
$31.74 through Jul 15","
All 3 days: $35
Fri: $15
Sat: $25
Sun: $15",http://www.tatsu-con.com/,http://www.tatsu-con.com/tickets.html,"Tatsu-Con is an exciting and unique multi-genre convention based on creativity and imagination. At Tatsu-Con you will find anime, table gaming, video gaming, live action gaming, steampunk, pop culture, cosplay, screenings, celebrity guests, entertainment, panels, workshops, unique shopping and all kinds of other fun geekery! Don't forget that this year's theme is villains! So watch for additional villainous, scandalous mischievous plottings to take over the world throughout the weekend.",Anime
Asheville Anime Regional Convention,U.S. Cellular Center,Asheville,NC,USA,2016-07-30,2016-07-30,35.597106,-82.555422,,"
$15",http://www.ashevillearc.com/,,"Asheville Anime Regional Convention is a fan-operated event. We are dedicated to spreading awareness and appreciation for all fandoms, with our primary focus remaining on Japanese animation, manga, and culture. In addition to providing a regional event for fans to gather and share common interests, AARC seeks to become a vehicle for sharing and disseminating industry information. Finally, we provide an outlet for the community and related industries to network and conduct business.",Anime
KuroNeko Con,Spokane Convention Center,Spokane,WA,USA,2016-07-30,2016-07-31,47.66077,-117.413378,,,http://kuronekocon.com/,http://kuronekocon.com/registration,"KuroNekoCon (or KNC for short) is the first and only Anime and Japanese Culture convention in Spokane, the second largest city in Washington State. Our goal is to celebrate and share Japanese culture, with an emphasis on anime, manga, and gaming subcultures. We pride ourselves in maintaining a family friendly standard, making our convention a safe and fun environment for all ages.

In 2015 we attracted over 1600 attendees and we expect to continue to grow. 2015 was our seventh year running and our third year at the Spokane Convention Center, located in the heart of downtown Spokane, right next to River Front Park.

Our staff is a group of volunteers who all have an interest in seeing more people become aware of the great wealth of quality Japanese entertainment and culture. No one on our staff gets paid for their time, meaning all of the profit we make from each year of the con will go directly into the con budget for the next year.",Anime
LAMECon,Land O Lakes Recreation Center,Land O Lakes,FL,USA,2016-07-30,2016-07-31,28.199248,-82.432489,,"
Both days: Free",http://lamecon.com/,,LAMECon is one of the largest FREE anime/comic/video game conventions in Florida. We have an anime dance on Saturday followed by a full-day con on Sunday. We have thousands of dollars of prizes to win all day long.,Anime
RhodyCon,Dovetail Auction Gallery,Cranston,RI,USA,2016-07-30,2016-07-31,41.7533236,-71.4470622,"
$15 through Dec 31, 2015
$25 through Jul 29","
Both days: $30",http://dovetailauctions.com/rhodycon.html,http://dovetailauctions.com/rhodycon_registration2016.html,"We think Rhode Island deserves its own annual anime convention, don't you? 

RhodyCon is a fan-run celebration of all things geeky and is open to fans of all ages and backgrounds. Anime, video games, pinball, and sci-fi are our main points of interest. We will also delve into other aspects of Japanese culture, pop culture, and classic gaming. Cosplayers, lolitas, and steampunks are all welcome here. 
We feature panels, cosplay, anime screenings, AMV Contest, video game tournaments, pinball tournament, dealer & artist area and Japanese food & snacks. 

Join us for a fun weekend celebrating your anime fandom!",Anime
Omnicon,McAllen Convention Center,McAllen,TX,USA,2016-08-05,2016-08-06,26.200739,-98.259058,"
$43.19 through Jul 5",,http://omnicononline.com/,http://www.omnicononline.com/#register,"The Rio Grande Valley's longest running anime and pop-culture event is back for its 9th year. Attendees can meet their favorite voice actors and obtain that prized signature, join gaming tournaments, both video and cards, to win great prizes, watch the most current anime hits, participate in fan panels and get lost amongst the multitudes of anime and pop-culture merchandise in our Vendor Room. Join us for fun times and everything you love. We hope to see you there!",Anime
